DaysOnMarket,Latitude,Longitude,BathroomsTotalInteger,LivingArea,FireplaceYN,YearBuilt,ParkingTotal,BedroomsTotal,PoolPrivateYN,LotSizeAcres,Stories
74,33.879307,-118.266288,3.0,1917.0,False,1963.0,2.0,4.0,False,0.1275,2.0
9,33.887814,-118.214048,1.0,1118.0,True,1947.0,2.0,3.0,False,0.1408,1.0
4,33.651358,-117.654968,2.0,1472.0,True,1976.0,4.0,4.0,False,0.1194,1.0
0,34.123123,-118.170365,3.0,1804.0,True,1961.0,2.0,4.0,False,0.1378,1.0
6,33.696124,-117.794979,2.0,1593.0,True,1974.0,2.0,3.0,False,0.095,1.0
0,37.53708649,-121.94027625,2.0,1434.0,True,1961.0,2.0,3.0,False,0.1591,1.0
187,34.118766,-116.430929,2.0,1501.0,True,2007.0,2.0,3.0,False,0.0947,1.0
7,33.603949,-117.722256,2.0,1240.0,False,1970.0,2.0,3.0,False,0.051,1.0
17,38.00658252,-121.94495689,3.0,3168.0,True,2002.0,3.0,5.0,False,0.1354,2.0
118,34.107302000000004,-118.230069,2.0,862.0,False,1930.0,0.0,2.0,False,0.0697,1.0
181,33.75849,-116.699006,3.0,2257.0,True,1957.0,4.0,5.0,False,1.4,2.0
25,37.20069264,-121.83152943,3.0,2216.0,True,1977.0,2.0,4.0,False,0.1652,2.0
26,35.354658,-119.050098,2.0,1192.0,False,1955.0,1.0,3.0,False,0.15,1.0
144,33.824732,-116.441061,2.0,1636.0,False,1989.0,2.0,4.0,True,0.17,1.0
197,34.391815,-117.34586000000002,2.0,1361.0,True,1993.0,2.0,3.0,False,0.3574,1.0
19,32.750555,-117.060363,1.0,1231.0,False,1951.0,2.0,3.0,False,0.1676,1.0
22,34.284782,-118.456056,3.0,1742.0,True,1955.0,3.0,3.0,False,0.1624,1.0
46,33.713016,-116.297023,4.0,3215.0,False,2024.0,2.0,3.0,True,0.21,1.0
0,34.177024,-118.399248,1.0,1171.0,True,1928.0,2.0,3.0,True,0.1802,1.0
60,33.742789,-116.960687,2.0,984.0,False,1954.0,2.0,3.0,False,0.18,1.0
53,33.676741,-117.244628,4.0,3902.0,True,2004.0,3.0,6.0,True,0.34,2.0
4,36.59320111,-121.84726891,2.0,1152.0,True,1956.0,2.0,3.0,True,0.1382,1.0
11,34.641167,-118.217998,2.0,1239.0,False,1972.0,2.0,3.0,False,0.3087,1.0
158,33.60878,-117.110182,4.0,2974.0,True,2006.0,3.0,4.0,False,0.17,2.0
21,33.692417,-118.00761,5.0,4200.0,True,2000.0,8.0,4.0,False,0.2385,2.0
6,33.936284,-117.221551,2.0,1616.0,False,1978.0,8.0,4.0,False,0.17,1.0
27,39.758874,-121.639846,2.0,1552.0,True,1962.0,2.0,3.0,False,0.34,1.0
10,37.99255349,-122.04167983,3.0,2029.0,True,1938.0,1.0,3.0,False,0.2296,1.0
35,34.388177,-118.549337,2.0,1869.0,True,1972.0,2.0,3.0,True,0.1468,1.0
6,34.278723,-118.532753,3.0,3580.0,True,1980.0,3.0,4.0,True,0.3169,2.0
17,33.09203761,-117.21397111,5.0,3875.0,False,2007.0,2.0,5.0,False,0.1179,2.0
56,33.649806,-116.249568,4.0,4050.0,True,2007.0,3.0,3.0,True,0.53,1.0
2,33.885769,-117.446379,4.0,3326.0,True,2018.0,3.0,4.0,True,0.37,1.0
5,33.829105,-118.11968,1.0,1180.0,True,1942.0,4.0,2.0,False,0.1338,1.0
6,37.53791575,-121.94926425,2.0,1148.0,True,1956.0,2.0,3.0,False,0.1263,1.0
21,33.106969,-117.251734,3.0,1900.0,True,1979.0,2.0,3.0,False,0.2081,1.0
44,32.734466,-117.02458500000002,1.0,1164.0,False,1965.0,2.0,2.0,True,0.13,1.0
7,34.281595,-118.543309,2.0,1679.0,True,1974.0,2.0,3.0,False,0.4205,1.0
11,33.809182,-118.37793700000002,4.0,3480.0,True,1986.0,4.0,4.0,False,0.1503,2.0
17,33.956194,-118.07686,2.0,1085.0,False,1950.0,1.0,3.0,False,0.1193,1.0
7,37.73513023,-121.86859965,3.0,2723.0,True,2018.0,2.0,4.0,False,0.1055,2.0
2,32.725947999999995,-117.040223,2.0,1225.0,True,1959.0,4.0,3.0,False,0.2571,1.0
3,33.793646,-117.932798,2.0,1177.0,True,1955.0,5.0,3.0,False,0.1742,1.0
7,33.84061,-116.473398,2.0,1250.0,False,1984.0,6.0,3.0,False,0.19,1.0
104,33.868374,-118.384604,2.0,1805.0,True,1980.0,2.0,3.0,False,0.0618,2.0
84,33.710692,-117.176422,2.0,2512.0,True,2003.0,2.0,4.0,False,0.21,1.0
7,34.144915000000005,-117.678386,3.0,2148.0,True,1988.0,3.0,4.0,False,0.1337,2.0
6,34.116328,-117.156159,4.0,3311.0,True,2017.0,2.0,5.0,False,0.2297,2.0
9,34.100974,-117.653463,3.0,1802.0,True,1965.0,2.0,4.0,False,0.1901,1.0
167,33.837854,-116.486309,4.0,2100.0,True,2014.0,6.0,3.0,True,0.16,1.0
14,32.847709,-117.209239,3.0,2352.0,True,1970.0,6.0,5.0,True,0.2089,2.0
33,32.97174921,-117.08650997,3.0,1895.0,False,1987.0,4.0,3.0,False,0.1761,2.0
20,41.499216,-122.38201399999998,3.0,1400.0,True,2003.0,2.0,3.0,False,0.24,2.0
9,34.081749,-117.94709,2.0,1103.0,False,1950.0,1.0,3.0,False,0.115,1.0
207,33.952870000000004,-117.03902,3.0,2680.0,False,2024.0,2.0,4.0,False,0.1715,2.0
22,37.56324976,-122.25162325,3.0,1860.0,True,1966.0,2.0,3.0,False,0.1199,1.0
9,37.69803598,-121.7934574,3.0,1683.0,True,1998.0,2.0,4.0,False,0.1471,2.0
7,37.73777467,-121.93393773,3.0,2113.0,False,1980.0,3.0,4.0,False,0.1607,2.0
6,33.793456,-116.288975,2.0,1865.0,False,2003.0,2.0,3.0,False,0.15,1.0
5,33.811315,-118.005678,2.0,2169.0,True,1956.0,2.0,3.0,False,0.1791,1.0
7,37.81904804,-122.21148675,2.0,1571.0,True,1951.0,2.0,2.0,False,0.1607,1.0
0,32.57014385,-117.06332214,2.0,1338.0,True,1977.0,4.0,4.0,False,0.1229,1.0
107,34.160758,-119.225954,3.0,2547.0,True,1975.0,2.0,4.0,False,0.0603,2.0
142,33.872015000000005,-117.382049,5.0,4917.0,True,2024.0,4.5,5.0,False,2.6,2.0
39,32.730575,-117.014065,2.0,1188.0,False,1970.0,1.0,3.0,True,0.2185,1.0
